Netflix Id,Title,Imdb Rating,Release Year,Netflix Original,Episode Count,Season Count,Maturity,Maturity Level,Maturity Detail,Image,Movie Type,Imdb Id,Last Day To Watch,Genres,Last Fetch
80236236,Another Life,,2020,True,20.0,2.0,18+,1000,"violence, sex, nudity, language, substances",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABeGWA_5chQfMuIW-0j5SApGSSjIamJTAS8hd2iK48rF28JMjULTuBlIxv5rRWtgM_MuQV5jsFNZ5i7f-zAULXtJWV1PWIaXu2-1Y1aMNVF4r6lRq5roIbptKI5ABHQyLR_sS.jpg?r=483,TV Series,,,,
80236319,Shadow and Bone,,2021,True,8.0,1.0,16+,110,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABRoLR77il6wxPVfHMXVXVJ4Rxs2vPxLhXX2hmdHJ_0pD9q5-ckImi298Qyjo68BxKcmjOoBAG4Sx38aDv0KA6oY9q_cUdn4MoQCt34T9FVBFfDtzeVdiVw3jjrGX4PpuUcL8.jpg?r=749,TV Series,,,,
80238399,The Sleepover,,2020,True,,,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfx53jD4ZSo-cWTudNF1fK5ekeKuy_eaQeE9A0tgIL-eWq5NMlYCH8G5FqxG0iIQ33EEYc-_DEATqUFeRs2L-HkWRWvW-zfqlX2E7bne71ChAV2qxvc0J_kphsW_9MkWvfoe.jpg?r=b22,Movie,,,,
80240027,Virgin River,,2021,True,30.0,3.0,16+,110,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdBEiGsFShaeCuchudKcrb7InS4JSDyLY6ETKLi9nNaE5-0UVHYRrdLk47lBWriEQrktonykTOQaVw-1D01GGo99NKYG8MpJD0XLsZEmoE3L8tP5NbQH6QPuYdpCDTaIhidE.jpg?r=22d,TV Series,,,,
80241234,The Ghost Bride,,2020,True,6.0,1.0,16+,110,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZKOhH--5gDYMEMcoplTytJGbKaPEylt1dBxIwXlSy2fEu5g8HxyTXdTM2dO90Ib93cDBFvBqnqoT-ePKFT6QsR5HRl_8Z2ABtvi_ss3Yh7fZfDw7wmyUrogOJS0iWlry9av.jpg?r=648,TV Series,,,,
80242292,The Stand-In,,2020,True,,,18+,1000,"language, substances",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQ3684vjqumH_EzGBRas8-_Mf7VtlzSf3mKPzH2W2lkMjbZpqB5Pe2NelmXVe2zVzmKPrrPDa8_V3anbYiX9eQ-SnFoqXcdO4RKDTdSC6y_Y2RL7IS74woFPsPQlUjccKRVI.jpg?r=48e,Movie,,,,
80244088,Eurovision Song Contest: The Story of Fire Saga,,2020,True,,,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABRhLxM0AJHHmnP-saHrwrRy1wqRahJjJfS_ovmumg0Qz0nBhmOIFqdrY_6kUMWmryScTQ36ZJ6-AYs3FofTPp1HZCKnd3Y8-CegFypv6ZYeqeHrGnNXpZLAEJnUnhyzY-dD2.jpg?r=ecf,Movie,,,,
80244283,Maya and the Three,,2021,True,9.0,1.0,7+,41,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABR_6vkzbfatd1-2LPBmCLTKny_z21Y62XeXQJbvMNXxJvQgZAO-L7BSAaryK8vRLB4eNCVLZI3Bb0Umud7y0NQBmxWi2qm1OjhXtpMA2DBbsQ8T1zhqvomoct7wwVDnc9itu.jpg?r=0ca,TV Series,,,,
80986797,Forest of Piano,,2019,True,24.0,2.0,13+,80,,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABYWhy7d6KAAwKdh4-BBwK5aW0BJcM9aYJOoSkKRci6QO0hfNck69iLvriA7Q9hXLGjF-0CZTcKBQRxsUIaUf-E4xCfMuYDojW6ScdAZJcReMpmGPO_Bpw9ZrbKpF5y-trh8Z.jpg?r=53e,TV Series,,,,
80986896,Love in the Moonlight,7.8,2016,False,18.0,1.0,16+,110,suicide,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABftFvQ8gLSjQU8aOMQNm_55IF6NHwG4LPxBEfvXzcRePWlTJUDnz2oKMjuwuHBQ5L9gl0uB5ApT1qYaPAT6OfRnTi7CxyypwMwM.webp?r=ff3,TV Series,tt5575678,,"Comedy,Drama,History",2023-03-15
80987063,Fruits Basket,8.6,2021,False,63.0,3.0,16+,110,"suicide, self-harm",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABWgEyTIXikJvzx5VOL9IPBUat-DUvWA7iJrTUhz5QqLIA3OCEmiRxSLwwK_-gprBW2Q_KV6LtRLHxnfnDKamoqYjJYRA4qHU29M.webp?r=bf1,TV Series,tt9304350,,"Animation,Comedy,Drama",2023-03-15
80987064,RESIDENT EVIL: Infinite Darkness,,2021,True,4.0,1.0,18+,1000,"violence, language",https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABS7n_P2vJW5bUBQSdUbnbzvh_KhDmE8h7O39m4mR_2vL9bzB9pAhGqwXW2f_dv8IkP8nT4vKOBIg-FOKcjkiXKz0Yf19JNUKCFkIHUnvWhYau7l7T2tV0dcCmAeE6UwEfAs5.jpg?r=b49,TV Series,,,,
80990381,Move to Heaven,,2021,True,10.0,1.0,18+,1000,language,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQysAA49RaZqrFxRoFNLfKlfcNkHMB5aRNTmC-yruSPgyAO9NrA1E9uDL1q0EvTaYH9HHbsdbzjpPcAK6nAYmnaG50RenOZoBVEeSZubX5JjTct9Z8sZASry1aUHdrypPTl3.jpg?r=cb9,TV Series,,,,
80991107,Mr. Sunshine,,2018,True,24.0,1.0,18+,1000,violence,https://occ-0-58-395.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZKRl-aFaR22isyLx3R6c38wmSEc-I2FUGrpzQ5lY_ktbqWWFwnbGXgjwMv-ASSrEP7RA4vfaA2SpKatb4JAM-HcgZ7RsCB4MZqu5BXNVsYGB7JX-eFNZP6AnqkNQJgoT3y3.jpg?r=c07,TV Series,,,,
